timestamp,supply_air_temp_c,return_air_temp_c,fan_speed_pct,remote_avg_temp_c,unit,source
2026-01-19T01:10:02.295585+02:00,17.8,35.4,70,21.8,C,vertiv_modbus
2026-01-19T01:20:01.779927+02:00,18,35.4,70,21.9,C,vertiv_modbus
2026-01-19T01:30:02.323441+02:00,18.1,35.4,70,22,C,vertiv_modbus
2026-01-19T01:40:01.755159+02:00,18.4,35.6,70,22,C,vertiv_modbus
2026-01-19T01:50:01.381898+02:00,18.6,35.5,70,22,C,vertiv_modbus
2026-01-19T02:00:02.145075+02:00,17.8,35.4,70,21.8,C,vertiv_modbus
2026-01-19T02:10:01.868078+02:00,18.2,35.5,70,21.9,C,vertiv_modbus
2026-01-19T02:20:02.024007+02:00,18.3,35.5,70,22,C,vertiv_modbus
2026-01-19T02:30:01.513481+02:00,17.8,35.3,70,21.8,C,vertiv_modbus
2026-01-19T02:40:01.578115+02:00,17.9,35.3,70,21.9,C,vertiv_modbus
2026-01-19T02:50:02.086662+02:00,18,35.4,70,21.9,C,vertiv_modbus
2026-01-19T03:00:01.585954+02:00,18.3,35.5,70,22,C,vertiv_modbus
2026-01-19T03:10:01.361983+02:00,18.5,35.6,70,22,C,vertiv_modbus
2026-01-19T03:20:02.265219+02:00,18.3,35.4,70,21.8,C,vertiv_modbus
2026-01-19T03:30:01.759333+02:00,18.1,35.4,70,21.8,C,vertiv_modbus
2026-01-19T03:40:01.568025+02:00,18,35.4,70,21.9,C,vertiv_modbus
2026-01-19T03:50:02.109404+02:00,18.5,35.4,70,21.9,C,vertiv_modbus
2026-01-19T04:00:01.830906+02:00,18.5,35.4,70,21.9,C,vertiv_modbus
2026-01-19T04:10:01.978444+02:00,18.1,35.3,70,21.8,C,vertiv_modbus
2026-01-19T04:20:01.485249+02:00,17.9,35.4,70,21.8,C,vertiv_modbus
2026-01-19T04:30:01.966937+02:00,18,35.4,70,21.9,C,vertiv_modbus
2026-01-19T04:40:01.579820+02:00,18.5,35.3,70,21.9,C,vertiv_modbus
2026-01-19T04:50:02.324712+02:00,18.5,35.3,70,21.9,C,vertiv_modbus
2026-01-19T05:00:01.865568+02:00,18,35.2,70,21.7,C,vertiv_modbus
2026-01-19T05:10:02.175378+02:00,18,35.3,70,21.8,C,vertiv_modbus
2026-01-19T05:20:01.713898+02:00,17.9,35.3,70,21.9,C,vertiv_modbus
2026-01-19T05:30:02.148513+02:00,18.3,35.4,70,21.9,C,vertiv_modbus
